ItinID,MktID,MktCoupons,Year,Quarter,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCountry,OriginStateFips,OriginState,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCountry,DestStateFips,DestState,DestStateName,DestWac,AirportGroup,WacGroup,TkCarrierChange,TkCarrierGroup,OpCarrierChange,OpCarrierGroup,RPCarrier,TkCarrier,OpCarrier,BulkFare,Passengers,MktFare,MktDistance,MktDistanceGroup,MktMilesFlown,NonStopMiles,ItinGeoType,MktGeoType
202522704360,20252270436003,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,14057,1405702,34057,PDX,US,41,OR,Oregon,92,XWA:DEN:PDX,66:82:92,0,UA:UA,0,UA:UA,DL,UA,UA,0.0,1,434.43,1573,4,1573,908,2,2
202524015501,20252401550104,3,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,11481,1148102,31481,ECP,US,12,FL,Florida,33,XWA:DEN:IAH:ECP,66:82:74:33,0,UA:UA:UA,0,UA:UA:UA,OO,UA,UA,0.0,1,292.5,2016,5,2016,1557,2,2
202524017386,20252401738604,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,11540,1154005,30615,ELP,US,48,TX,Texas,74,XWA:DEN:ELP,66:82:74,0,UA:UA,0,UA:UA,OO,UA,UA,0.0,1,481.07,1145,3,1145,1143,2,2
202524025461,20252402546103,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,11638,1163807,31638,FAT,US,6,CA,California,91,XWA:DEN:FAT,66:82:91,0,UA:UA,0,UA:UA,OO,UA,UA,0.0,1,212.0,1426,3,1426,1133,2,2
202524048228,20252404822803,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,11921,1192102,31921,GJT,US,8,CO,Colorado,82,XWA:DEN:GJT,66:82:82,0,UA:UA,0,UA:UA,OO,UA,UA,0.0,1,138.5,794,2,794,674,2,2
202524048229,20252404822903,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,11921,1192102,31921,GJT,US,8,CO,Colorado,82,XWA:DEN:GJT,66:82:82,0,UA:UA,0,UA:UA,OO,UA,UA,0.0,1,179.5,794,2,794,674,2,2
202524268362,20252426836203,3,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,14814,1481403,30476,SHV,US,22,LA,Louisiana,72,XWA:DEN:IAH:SHV,66:82:74:72,0,UA:UA:UA,0,UA:UA:UA,OO,UA,UA,0.0,1,613.64,1636,4,1636,1208,2,2
202524268364,20252426836403,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,14814,1481403,30476,SHV,US,22,LA,Louisiana,72,XWA:DEN:SHV,66:82:72,0,UA:UA,0,UA:UA,OO,UA,UA,0.0,1,416.0,1374,3,1374,1208,2,2
202524277039,20252427703903,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,14869,1486903,34614,SLC,US,49,UT,Utah,87,XWA:DEN:SLC,66:82:87,0,UA:UA,0,UA:UA,OO,UA,UA,0.0,1,260.0,973,2,973,656,2,2
202524303460,20252430346003,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,15370,1537002,34653,TUL,US,40,OK,Oklahoma,73,XWA:DEN:TUL,66:82:73,0,UA:UA,0,UA:UA,OO,UA,UA,0.0,1,135.0,1123,3,1123,924,2,2
202524303466,20252430346603,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,15370,1537002,34653,TUL,US,40,OK,Oklahoma,73,XWA:DEN:TUL,66:82:73,0,UA:UA,0,UA:UA,OO,UA,UA,0.0,1,221.5,1123,3,1123,924,2,2
202524303467,20252430346703,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,15370,1537002,34653,TUL,US,40,OK,Oklahoma,73,XWA:DEN:TUL,66:82:73,0,UA:UA,0,UA:UA,OO,UA,UA,0.0,1,254.0,1123,3,1123,924,2,2
202525111453,20252511145303,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,13264,1326404,33264,MFR,US,41,OR,Oregon,92,XWA:DEN:MFR,66:82:92,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,319.0,1546,4,1546,1013,2,2
202525119866,20252511986605,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,13342,1334207,33342,MKE,US,55,WI,Wisconsin,45,XWA:DEN:MKE,66:82:45,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,475.93,1478,3,1478,849,2,2
202525136320,20252513632004,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,13495,1349505,33495,MSY,US,22,LA,Louisiana,72,XWA:DEN:MSY,66:82:72,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,429.29,1644,4,1644,1449,2,2
202525156192,20252515619205,3,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,13830,1383002,33830,OGG,US,15,HI,Hawaii,2,XWA:DEN:LAX:OGG,66:82:91:2,0,UA:UA:UA,0,UA:UA:UA,UA,UA,UA,0.0,1,543.79,3930,8,3930,3455,1,1
202525165281,20252516528103,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,13891,1389101,32575,ONT,US,6,CA,California,91,XWA:DEN:ONT,66:82:91,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,236.5,1401,3,1401,1214,2,2
202526774754,20252677475404,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,10994,1099402,30994,CHS,US,45,SC,South Carolina,37,XWA:DEN:CHS,66:82:37,0,UA:UA,0,UA:UA,YX,UA,UA,0.0,1,692.32,2031,5,2031,1625,2,2
202524812714,20252481271403,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,11697,1169706,32467,FLL,US,12,FL,Florida,33,XWA:DEN:FLL,66:82:33,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,183.5,2285,5,2285,1993,2,2
202524830268,20252483026803,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,11884,1188402,31884,GEG,US,53,WA,Washington,93,XWA:DEN:GEG,66:82:93,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,156.0,1418,3,1418,641,2,2
202524830269,20252483026903,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,11884,1188402,31884,GEG,US,53,WA,Washington,93,XWA:DEN:GEG,66:82:93,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,173.0,1418,3,1418,641,2,2
202524833107,20252483310703,2,2025,2,16869,1686902,32389,XWA,US,38,ND,North Dakota,66,11921,1192102,31921,GJT,US,8,CO,Colorado,82,XWA:DEN:GJT,66:82:82,0,UA:UA,0,UA:UA,UA,UA,UA,0.0,1,256.0,794,2,794,674,2,2
